id,required,phase,area,scenario,expected,evidence
W43-013,yes,W43,Currentness,Source change during query,At most one retry,CURRENTNESS/UNIT/REAL_POSTGRES
W43-014,yes,W43,Currentness,Second source change,INDETERMINATE,CURRENTNESS/UNIT/REAL_POSTGRES
W43-015,yes,W43,Currentness,Currentness evidence persisted,Pass,CURRENTNESS/UNIT/REAL_POSTGRES
W43-016,yes,W43,Currentness,Existing priorGrounding boundary,Not weakened,CURRENTNESS/UNIT/REAL_POSTGRES
W43-017,yes,W43,Currentness,Replay terminology,Revalidation vs re-execution distinguished,CURRENTNESS/UNIT/REAL_POSTGRES
W43-018,yes,W43,Currentness,Currentness regression,Pass,CURRENTNESS/UNIT/REAL_POSTGRES
W44-E2E-01,yes,W44,RealE2E,E2E-SLOPE-POINT,Natural-language case follows locked semantic/descriptor/recipe/plan/Gateway/evidence path,REAL_NATURAL_LANGUAGE_E2E
W44-E2E-02,yes,W44,RealE2E,E2E-SLOPE-RANGE,Natural-language case follows locked semantic/descriptor/recipe/plan/Gateway/evidence path,REAL_NATURAL_LANGUAGE_E2E
W44-E2E-03,yes,W44,RealE2E,E2E-FLOOD-HIGH,Natural-language case follows locked semantic/descriptor/recipe/plan/Gateway/evidence path,REAL_NATURAL_LANGUAGE_E2E
W44-E2E-04,yes,W44,RealE2E,E2E-DRAINAGE-NEARBY,Natural-language case follows locked semantic/descriptor/recipe/plan/Gateway/evidence path,REAL_NATURAL_LANGUAGE_E2E
W44-E2E-05,yes,W44,RealE2E,E2E-HIGH-GROUND,Natural-language case follows locked semantic/descriptor/recipe/plan/Gateway/evidence path,REAL_NATURAL_LANGUAGE_E2E
W44-E2E-06,yes,W44,RealE2E,E2E-WETLAND,Natural-language case follows locked semantic/descriptor/recipe/plan/Gateway/evidence path,REAL_NATURAL_LANGUAGE_E2E
W44-E2E-07,yes,W44,RealE2E,E2E-LAND-COVER,Natural-language case follows locked semantic/descriptor/recipe/plan/Gateway/evidence path,REAL_NATURAL_LANGUAGE_E2E
W44-E2E-08,yes,W44,RealE2E,E2E-TRAVERSABILITY-EXPLAIN,Natural-language case follows locked semantic/descriptor/recipe/plan/Gateway/evidence path,REAL_NATURAL_LANGUAGE_E2E
W44-E2E-09,yes,W44,RealE2E,E2E-EXPLICIT-PRODUCT,Natural-language case follows locked semantic/descriptor/recipe/plan/Gateway/evidence path,REAL_NATURAL_LANGUAGE_E2E
W44-E2E-10,yes,W44,RealE2E,NEG-DESCRIPTOR-GAP,Natural-language case follows locked semantic/descriptor/recipe/plan/Gateway/evidence path,REAL_NATURAL_LANGUAGE_E2E
W44-E2E-11,yes,W44,RealE2E,NEG-DATA-GAP,Natural-language case follows locked semantic/descriptor/recipe/plan/Gateway/evidence path,REAL_NATURAL_LANGUAGE_E2E
W44-E2E-12,yes,W44,RealE2E,NEG-REFERENCE-AMBIGUITY,Natural-language case follows locked semantic/descriptor/recipe/plan/Gateway/evidence path,REAL_NATURAL_LANGUAGE_E2E
W44-E2E-13,yes,W44,RealE2E,NEG-UNIT-MISMATCH,Natural-language case follows locked semantic/descriptor/recipe/plan/Gateway/evidence path,REAL_NATURAL_LANGUAGE_E2E
W44-E2E-14,yes,W44,RealE2E,NEG-RECIPE-DRIFT,Natural-language case follows locked semantic/descriptor/recipe/plan/Gateway/evidence path,REAL_NATURAL_LANGUAGE_E2E
W44-E2E-15,yes,W44,RealE2E,NEG-TRUNCATED,Natural-language case follows locked semantic/descriptor/recipe/plan/Gateway/evidence path,REAL_NATURAL_LANGUAGE_E2E
W44-E2E-16,yes,W44,RealE2E,NEG-CURRENTNESS,Natural-language case follows locked semantic/descriptor/recipe/plan/Gateway/evidence path,REAL_NATURAL_LANGUAGE_E2E
W44-X01,yes,W44,Integration,Running GDPS baseline,Ready,RUNNING_GOWM_GATEWAY/REPORT
W44-X02,yes,W44,Integration,Running GOWM Gateway,Ready,RUNNING_GOWM_GATEWAY/REPORT
W44-X03,yes,W44,Integration,WSGS API/worker,Ready,RUNNING_GOWM_GATEWAY/REPORT
W44-X04,yes,W44,Integration,No mock result,Evidence proves real endpoints,RUNNING_GOWM_GATEWAY/REPORT
W44-X05,yes,W44,Integration,Continuous raster,Real case pass,RUNNING_GOWM_GATEWAY/REPORT
W44-X06,yes,W44,Integration,Categorical raster,Real case pass,RUNNING_GOWM_GATEWAY/REPORT
W44-X07,yes,W44,Integration,Vector feature,Real case pass,RUNNING_GOWM_GATEWAY/REPORT
W44-X08,yes,W44,Integration,Specialized operation,Real case pass,RUNNING_GOWM_GATEWAY/REPORT
W44-X09,yes,W44,Integration,Explicit product,Real case pass,RUNNING_GOWM_GATEWAY/REPORT
W44-X10,yes,W44,Integration,Foreign scope,No leak,RUNNING_GOWM_GATEWAY/REPORT
W44-X11,yes,W44,Integration,Product evidence,Hash and descriptor present,RUNNING_GOWM_GATEWAY/REPORT
W44-X12,yes,W44,Integration,End-to-end report,Machine-valid,RUNNING_GOWM_GATEWAY/REPORT
W45-001,yes,W45,RegressionDelivery,npm ci,Pass,CI/REPORT/GIT
W45-002,yes,W45,RegressionDelivery,npm run build,Pass,CI/REPORT/GIT
W45-003,yes,W45,RegressionDelivery,npm test,Pass,CI/REPORT/GIT
W45-004,yes,W45,RegressionDelivery,npm run check,Pass,CI/REPORT/GIT
W45-005,yes,W45,RegressionDelivery,Contract intake gate,Pass,CI/REPORT/GIT
W45-006,yes,W45,RegressionDelivery,Architecture boundary,Pass,CI/REPORT/GIT
W45-007,yes,W45,RegressionDelivery,Real GOWM gate,Pass,CI/REPORT/GIT
W45-008,yes,W45,RegressionDelivery,Development closure,Pass,CI/REPORT/GIT
W45-009,yes,W45,RegressionDelivery,Reference regression,Pass,CI/REPORT/GIT
W45-010,yes,W45,RegressionDelivery,Known reference regression,Pass,CI/REPORT/GIT
W45-011,yes,W45,RegressionDelivery,Grounding Core regression,Pass,CI/REPORT/GIT
W45-012,yes,W45,RegressionDelivery,Seven specialized GDPS recipes,Pass,CI/REPORT/GIT
W45-013,yes,W45,RegressionDelivery,Seven generic GDPS recipes,Pass,CI/REPORT/GIT
W45-014,yes,W45,RegressionDelivery,Postgres persistence,Pass,CI/REPORT/GIT
W45-015,yes,W45,RegressionDelivery,Northbound contract,Pass,CI/REPORT/GIT
W45-016,yes,W45,RegressionDelivery,Evidence map complete,Every acceptance mapped,CI/REPORT/GIT
W45-017,yes,W45,RegressionDelivery,No aggregate pass,Each row evaluated,CI/REPORT/GIT
W45-018,yes,W45,RegressionDelivery,No required NOT_RUN,For COMPLETE,CI/REPORT/GIT
W45-019,yes,W45,RegressionDelivery,Source SHAs,Reported,CI/REPORT/GIT
W45-020,yes,W45,RegressionDelivery,Runtime revisions,Reported,CI/REPORT/GIT
W45-021,yes,W45,RegressionDelivery,Task branch pushed,Exact SHA,CI/REPORT/GIT
W45-022,yes,W45,RegressionDelivery,Draft PR,Correct base,CI/REPORT/GIT
W45-023,yes,W45,RegressionDelivery,No merge/tag/release,Pass,CI/REPORT/GIT
W45-024,yes,W45,RegressionDelivery,Final marker policy,Only all-pass,CI/REPORT/GIT
W45-025,yes,W45,RegressionDelivery,Final report,Complete and honest,CI/REPORT/GIT
